,TS代码,股票代码,股票名称,行业,市场类型
473,002019.SZ,002019,亿帆医药,化学制药,中小板
474,002020.SZ,002020,京新药业,化学制药,中小板
475,002021.SZ,002021,ST中捷,纺织机械,中小板
476,002022.SZ,002022,科华生物,医疗保健,中小板
477,002023.SZ,002023,海特高新,航空,中小板
478,002024.SZ,002024,苏宁易购,电器连锁,中小板
479,002025.SZ,002025,航天电器,元器件,中小板
480,002026.SZ,002026,山东威达,机械基件,中小板
481,002027.SZ,002027,分众传媒,影视音像,中小板
482,002028.SZ,002028,思源电气,电气设备,中小板
483,002029.SZ,002029,七匹狼,服饰,中小板
484,002030.SZ,002030,达安基因,生物制药,中小板
485,002031.SZ,002031,巨轮智能,汽车配件,中小板
486,002032.SZ,002032,苏泊尔,家用电器,中小板
487,002033.SZ,002033,丽江股份,旅游景点,中小板
488,002034.SZ,002034,旺能环境,环境保护,中小板
489,002035.SZ,002035,华帝股份,家用电器,中小板
490,002036.SZ,002036,联创电子,元器件,中小板
491,002037.SZ,002037,保利联合,化工原料,中小板
492,002038.SZ,002038,双鹭药业,生物制药,中小板
493,002039.SZ,002039,黔源电力,水力发电,中小板
494,002040.SZ,002040,南京港,港口,中小板
495,002041.SZ,002041,登海种业,种植业,中小板
496,002042.SZ,002042,华孚时尚,纺织,中小板
497,002043.SZ,002043,兔宝宝,其他建材,中小板
498,002044.SZ,002044,美年健康,医疗保健,中小板
499,002045.SZ,002045,国光电器,元器件,中小板
500,002046.SZ,002046,国机精工,机械基件,中小板
501,002047.SZ,002047,宝鹰股份,装修装饰,中小板
502,002048.SZ,002048,宁波华翔,汽车配件,中小板
503,002049.SZ,002049,紫光国微,元器件,中小板
504,002050.SZ,002050,三花智控,机械基件,中小板
505,002051.SZ,002051,中工国际,建筑工程,中小板
506,002052.SZ,002052,*ST同洲,通信设备,中小板
507,002053.SZ,002053,云南能投,食品,中小板
508,002054.SZ,002054,德美化工,化工原料,中小板
509,002055.SZ,002055,得润电子,元器件,中小板
510,002056.SZ,002056,横店东磁,元器件,中小板
511,002057.SZ,002057,中钢天源,元器件,中小板
512,002058.SZ,002058,威尔泰,电器仪表,中小板
513,002059.SZ,002059,云南旅游,旅游景点,中小板
514,002060.SZ,002060,粤水电,建筑工程,中小板
515,002061.SZ,002061,浙江交科,建筑工程,中小板
516,002062.SZ,002062,宏润建设,建筑工程,中小板
517,002063.SZ,002063,远光软件,软件服务,中小板
518,002064.SZ,002064,华峰化学,化纤,中小板
519,002065.SZ,002065,东华软件,软件服务,中小板
520,002066.SZ,002066,瑞泰科技,其他建材,中小板
521,002067.SZ,002067,景兴纸业,造纸,中小板
522,002068.SZ,002068,黑猫股份,化工原料,中小板
523,002069.SZ,002069,獐子岛,渔业,中小板
524,002071.SZ,002071,*ST长城,影视音像,中小板
525,002072.SZ,002072,*ST凯瑞,商贸代理,中小板
526,002073.SZ,002073,软控股份,软件服务,中小板
527,002074.SZ,002074,国轩高科,电气设备,中小板
528,002075.SZ,002075,沙钢股份,特种钢,中小板
529,002076.SZ,002076,*ST雪莱,家用电器,中小板
530,002077.SZ,002077,*ST大港,区域地产,中小板
531,002078.SZ,002078,太阳纸业,造纸,中小板
532,002079.SZ,002079,苏州固锝,半导体,中小板
533,002080.SZ,002080,中材科技,化纤,中小板
534,002081.SZ,002081,金螳螂,装修装饰,中小板
535,002082.SZ,002082,万邦德,铝,中小板
536,002083.SZ,002083,孚日股份,纺织,中小板
