,ts_code,name,industry,market
430,000970.SZ,中科三环,元器件,主板
431,000971.SZ,*ST高升,互联网,主板
432,000972.SZ,ST中基,食品,主板
433,000973.SZ,佛塑科技,塑料,主板
434,000975.SZ,银泰黄金,黄金,主板
435,000976.SZ,华铁股份,运输设备,主板
436,000977.SZ,浪潮信息,IT设备,主板
437,000978.SZ,桂林旅游,旅游景点,主板
438,000980.SZ,*ST众泰,汽车配件,主板
439,000981.SZ,*ST银亿,汽车配件,主板
440,000982.SZ,*ST中绒,纺织,主板
441,000983.SZ,西山煤电,煤炭开采,主板
442,000985.SZ,大庆华科,化工原料,主板
443,000987.SZ,越秀金控,多元金融,主板
444,000988.SZ,华工科技,电器仪表,主板
445,000989.SZ,九芝堂,中成药,主板
446,000990.SZ,诚志股份,化工原料,主板
447,000993.SZ,闽东电力,水力发电,主板
448,000996.SZ,中国中期,汽车服务,主板
449,000997.SZ,新大陆,软件服务,主板
450,000998.SZ,隆平高科,种植业,主板
451,000999.SZ,华润三九,中成药,主板
452,001696.SZ,宗申动力,摩托车,主板
453,001872.SZ,招商港口,港口,主板
454,001896.SZ,豫能控股,火力发电,主板
455,001914.SZ,招商积余,房产服务,主板
456,001965.SZ,招商公路,路桥,主板
457,001979.SZ,招商蛇口,全国地产,主板
458,002001.SZ,新和成,化学制药,中小板
459,002002.SZ,鸿达兴业,化工原料,中小板
460,002003.SZ,伟星股份,服饰,中小板
461,002004.SZ,华邦健康,化学制药,中小板
462,002005.SZ,*ST德豪,家用电器,中小板
463,002006.SZ,精功科技,专用机械,中小板
464,002007.SZ,华兰生物,生物制药,中小板
465,002008.SZ,大族激光,电器仪表,中小板
466,002009.SZ,天奇股份,工程机械,中小板
467,002010.SZ,传化智联,仓储物流,中小板
468,002011.SZ,盾安环境,工程机械,中小板
469,002012.SZ,凯恩股份,造纸,中小板
470,002013.SZ,中航机电,航空,中小板
471,002014.SZ,永新股份,塑料,中小板
472,002015.SZ,协鑫能科,新型电力,中小板
473,002016.SZ,世荣兆业,区域地产,中小板
474,002017.SZ,东信和平,通信设备,中小板
475,002019.SZ,亿帆医药,化学制药,中小板
476,002020.SZ,京新药业,化学制药,中小板
477,002021.SZ,ST中捷,纺织机械,中小板
478,002022.SZ,科华生物,医疗保健,中小板
479,002023.SZ,海特高新,航空,中小板
480,002024.SZ,苏宁易购,电器连锁,中小板
481,002025.SZ,航天电器,元器件,中小板
482,002026.SZ,山东威达,机械基件,中小板
483,002027.SZ,分众传媒,影视音像,中小板
484,002028.SZ,思源电气,电气设备,中小板
485,002029.SZ,七匹狼,服饰,中小板
486,002030.SZ,达安基因,生物制药,中小板
487,002031.SZ,巨轮智能,汽车配件,中小板
488,002032.SZ,苏泊尔,家用电器,中小板
489,002033.SZ,丽江股份,旅游景点,中小板
490,002034.SZ,旺能环境,环境保护,中小板
491,002035.SZ,华帝股份,家用电器,中小板
492,002036.SZ,联创电子,元器件,中小板
493,002037.SZ,保利联合,化工原料,中小板
494,002038.SZ,双鹭药业,生物制药,中小板
495,002039.SZ,黔源电力,水力发电,中小板
496,002040.SZ,南京港,港口,中小板
497,002041.SZ,登海种业,种植业,中小板
498,002042.SZ,华孚时尚,纺织,中小板
499,002043.SZ,兔宝宝,其他建材,中小板
500,002044.SZ,美年健康,医疗保健,中小板
501,002045.SZ,国光电器,元器件,中小板
502,002046.SZ,轴研科技,机械基件,中小板
503,002047.SZ,宝鹰股份,装修装饰,中小板
504,002048.SZ,宁波华翔,汽车配件,中小板
505,002049.SZ,紫光国微,元器件,中小板
506,002050.SZ,三花智控,机械基件,中小板
507,002051.SZ,中工国际,建筑工程,中小板
508,002052.SZ,*ST同洲,通信设备,中小板
509,002053.SZ,云南能投,食品,中小板
510,002054.SZ,德美化工,化工原料,中小板
511,002055.SZ,得润电子,元器件,中小板
512,002056.SZ,横店东磁,元器件,中小板
513,002057.SZ,中钢天源,元器件,中小板
514,002058.SZ,威尔泰,电器仪表,中小板
515,002059.SZ,云南旅游,旅游景点,中小板
516,002060.SZ,粤水电,建筑工程,中小板
517,002061.SZ,浙江交科,建筑工程,中小板
518,002062.SZ,宏润建设,建筑工程,中小板
519,002063.SZ,远光软件,软件服务,中小板
520,002064.SZ,华峰氨纶,化纤,中小板
521,002065.SZ,东华软件,软件服务,中小板
522,002066.SZ,瑞泰科技,其他建材,中小板
523,002067.SZ,景兴纸业,造纸,中小板
524,002068.SZ,黑猫股份,化工原料,中小板
525,002069.SZ,獐子岛,渔业,中小板
526,002071.SZ,*ST长城,影视音像,中小板
527,002072.SZ,ST凯瑞,互联网,中小板
528,002073.SZ,软控股份,软件服务,中小板
529,002074.SZ,国轩高科,电气设备,中小板
530,002075.SZ,沙钢股份,特种钢,中小板
531,002076.SZ,*ST雪莱,家用电器,中小板
532,002077.SZ,*ST大港,区域地产,中小板
533,002078.SZ,太阳纸业,造纸,中小板
534,002079.SZ,苏州固锝,半导体,中小板
535,002080.SZ,中材科技,化纤,中小板
536,002081.SZ,金螳螂,装修装饰,中小板
537,002082.SZ,万邦德,铝,中小板
538,002083.SZ,孚日股份,纺织,中小板
539,002084.SZ,海鸥住工,家居用品,中小板
540,002085.SZ,万丰奥威,汽车配件,中小板
541,002086.SZ,*ST东洋,渔业,中小板
542,002087.SZ,新野纺织,纺织,中小板
543,002088.SZ,鲁阳节能,矿物制品,中小板
544,002089.SZ,*ST新海,通信设备,中小板
545,002090.SZ,金智科技,软件服务,中小板
546,002091.SZ,江苏国泰,商贸代理,中小板
547,002092.SZ,中泰化学,化工原料,中小板
548,002093.SZ,国脉科技,电信运营,中小板
549,002094.SZ,青岛金王,日用化工,中小板
550,002095.SZ,生意宝,互联网,中小板
551,002096.SZ,南岭民爆,化工原料,中小板
552,002097.SZ,山河智能,工程机械,中小板
553,002098.SZ,浔兴股份,服饰,中小板
554,002099.SZ,海翔药业,化学制药,中小板
555,002100.SZ,天康生物,饲料,中小板
556,002101.SZ,广东鸿图,汽车配件,中小板
557,002102.SZ,ST冠福,化学制药,中小板
558,002103.SZ,广博股份,互联网,中小板
559,002104.SZ,恒宝股份,元器件,中小板
560,002105.SZ,信隆健康,文教休闲,中小板
561,002106.SZ,莱宝高科,元器件,中小板
562,002107.SZ,沃华医药,中成药,中小板
563,002108.SZ,沧州明珠,塑料,中小板
564,002109.SZ,兴化股份,化工原料,中小板
565,002110.SZ,三钢闽光,普钢,中小板
566,002111.SZ,威海广泰,航空,中小板
567,002112.SZ,三变科技,电气设备,中小板
568,002113.SZ,*ST天润,互联网,中小板
569,002114.SZ,罗平锌电,铅锌,中小板
570,002115.SZ,三维通信,互联网,中小板
571,002116.SZ,中国海诚,建筑工程,中小板
572,002117.SZ,东港股份,广告包装,中小板
573,002118.SZ,紫鑫药业,中成药,中小板
574,002119.SZ,康强电子,半导体,中小板
575,002120.SZ,韵达股份,仓储物流,中小板
576,002121.SZ,*ST科陆,电器仪表,中小板
577,002122.SZ,*ST天马,机械基件,中小板
578,002123.SZ,梦网集团,互联网,中小板
579,002124.SZ,天邦股份,饲料,中小板
580,002125.SZ,湘潭电化,化工原料,中小板
581,002126.SZ,银轮股份,汽车配件,中小板
582,002127.SZ,南极电商,互联网,中小板
